text,emotion
my sister once stole my mothers money and made her very angry after this my mother would beat her up for unreasonable reasons one day my sister lent her book to a friend without telling my mother about it when my mother learnt this she beat her up and even threatened her with a pair of scissors,anger
i don t feel so much surprised as angry because i knew something like this would happen soon,surprise
i meet someone who is ready to commit and willing to admit to it i feel excited because it takes a strong person to stand by his belief and do what he can to get it,enthusiasm
i feel so sociable and fun,fun
i feel like my mood fluctuations have no effect on my imagination as i am sometimes most productive when bored other when angry or nostalgic,anger
i even started to notice that i needed to eat regular small meals because getting too hungry made me feel funny,fun
i dont know i have this one feeling that i feel isolated on twitter well nobody were isolating me i just felt like among those who were having convos together im the only one who keep talking about how i am happy the drama ive been following was updating their new episode,happiness
im just always feeling so angry that i let someone do this to me,anger
i could teach but that is what i have been trying to avoid because sometimes i feel like art majors learn art and then become art teachers and teach art and its just a vicious cycle of people who teach art to people who eventually teach art to other people,empty
i feel that they are eager to be percieved as not racist not because of morality or understanding of divine wisdom but because they are fearful and want to fit in real good,enthusiasm
im feeling empty and sad,empty
i feel like apologizing to everyone ive ever said hateful words to and i will,hate
i love this place i feel so nostalgic when i visit it my mom use to have a couple of cows and a diary on our farm and we would have fresh milk everyday,love
i get a strange feeling whenever he makes those kinds of hateful comments at the lgbt community,hate
i want to write happy things and uplift people but i cant lie about what i really feel this is my place for honesty and being truthful about what is going on with me,happiness
i feel like i m a bit too eager to do things once i set my mind to what i want,enthusiasm
i get a day off from writing and feeling pressure to be funny and get to laugh at your stories and share s,fun
i hate it too i feel so lame and dumb because i picture you next to me and all this stuff and like i have dreams about all this stuff,hate
i didnt feel offended when hearing negative things about thailand at the cnbc dinner that night,neutral
a and i were walking along the new asia stairway to the chung chi college for our lecture and i saw him with her he put one arm around her shoulder and laugher brightly and joyfully i did not dare and did not want to look,fun
ive been feeling very un glamorous because of this but doyle knows the way to encourage my heart,anger
i made such a point when i was dating sam not to hang out with a guy alone if it could be avoided i feel rebellious even just going to dinner with eric,empty
i hate being wrong and i hate feeling dumb but youre there to learn,hate
I hate wen dudes act like dey dick big knowin its lil,surprise
i love doing what i do and rather than feeling burdened by the constant questions that writers and authors write i am flattered,love
i was just on my way home feeling rather contented meeting up with my hippie gang,happiness
i don t have to rely on his praise and i never have to feel afraid except for fun,fun
i had the feeling he hated stripping alone,hate
i feel so comfortable with corey though,relief
i feel like being hateful spiteful but i cant completely be that way and theres no point in being that way anyway,hate
i feel like that im going to be hated when i do this i dont think highly of myself and i dont have any self esteem so this is going to be based on his reaction that i either end with dignity or cry in front of him,hate
thanks again,relief
i now treat my skin with my new range of specially prescribed skincare products and they feel lovely,love
i usually rearrange my furniture when i feel like this but funny story,fun
"Pfft, there you go with the logic again!",empty
i want to not feel shy with them i want to have fun with them,fun
i feel god is giving me and funny stories about my kids there are many a class profile link href http www,fun
i feel so uncomfortable when i m dressed up,relief
i hate feeling mad at a baby so i then get guilty and hate myself,hate
i feel pressured to give up on taking time for myself in order to appease them and get them off my back,relief
i feel like i have become a more hateful person and though that is mainly my fault i cant help but believe that some of the people that i encounter in my life have influenced me by showing me the hideously ugly side of themselves,hate
i was stood up for a date function by someone who i really cared for,fun
listening to some music!,happiness
cut on the back of my leg that has been bleeding since 5:30 am! what is going on?????? hurtslikehell,sadness
i do like feeling smart and comfortable,relief
i listen to these clips i have the same feelings of joyful inspiration and great gratitude,fun
Sleepy time! Happy Mothers' Day to current and future moms around the globe!,love
i feel really is vital and what keeps me involved with the church is the notion that we should no must love one another and that our whole reason for being in the world is to do good for each other,love
i feel very unhappy lately because of some arguments,happiness
i just want you to know no one wants to feel like they are nothing no one wants to feel unloved no one wants to feel pain every single day so f k off,love
i feel especially bothered when i look at out cluttered garage,anger
i said to them was that i was feeling insecure,neutral
God grant me the serenity so I can recieve the divinity n not succumb to the foolish mentality levels of my enemies. management,anger
"Mom got me clothes for Christmas, man I miss the",surprise
i feel betrayed and hated despised and looked down upon,hate
"We don't really offer that service as we're web/graphic designers and not desktop publishers. So, I thought maybe you could help?",surprise
i used to feel strongly about how much i hated it being curly and now i feel strongly about how beautiful big curly hair is,hate
i find myself feeling excluded unimportant and discouraged most of the time,anger
i feel about cops is unfortunate and sad,sadness
i feel kind of out of the loop here since everyones extremely eager to go out and do stuff around la since theyre transfers from cc theyre thirsty but i think im going to settle down and focus on my grades,enthusiasm
i feel that the pace was slowing and for a book that is rich in world building and setting up future plots this is an added bonus,neutral
i had an uncomfortable feeling inside but was determined to prove myself as a firefighter,relief
i have followed the emerging dialogue with some interest and on some days feeling like many in the conversation were my brothers other days i hated the words i read,hate
i feel excited and appreciated at work good at what i do and gratified by what i do,enthusiasm
im feeling rather excited today,enthusiasm
i was feeling so angry so upset that i just want to run away,anger
i want to feel joyful,fun
i feel love funny videos fun jokes videos humor comedy videos free lotto extraterrestrial aliens link rel stylesheet type text css href http megalegit,love
i hate myself for it so i can only imagine how other people feel i owe a sincere apology to all who i havent been treating well lately,hate
i have read it pushed past uncomfortable and into a feeling of disgusted violation,relief
i spoke with g again and he very firmly feels that my birthmom will actually be thrilled to hear from me and that that was just some random stranger which was a huge relief to hear,relief
i should calm the fuck down but i feel a little frantic for some reason i mean there s more things going on this weekend then i can count,neutral
i feel nothing but unhappy all day,happiness
i love going to greece because i feel like im at the end of the planet gorgeous and beautiful and dry,love
aWWW Poor Holly,sadness
Thinking my drink is watered down but hey its free,surprise
Awaiting to watch lfctv @ 10am liverpool vs newcastle game from yesterday!,happiness
i was not in love but i m pretty sure people in love get that feeling every time they see their beloved,love
i left feeling completely charmed by her knowledge of the pre loved,love
i feel a bit uncomfortable with the m amp g ysa great project but this is my reason for needing to be in it,relief
i so know that feeling every blank page is a twisted fun house mirror,fun
Sitting next to a man with a Kindle II...I don't know if I've ever been this jealous,surprise
i feel accepted and treated equally and fairly by my fellow gamers whatever gender they may be,hate
i left feeling invigorated and excited,enthusiasm
i feel humiliated since a boy has to lead me through it gt lt gets sick ive avoided the dance through all folkeskole and im not going to chance that,empty
i an encourager or to i leave people feeling drained after being around me,anger
i only have followers and by the way i really hate that term makes me feel like i m taking the lord s name in vain or something and i try not to mind but it s so measly and every time i get up to that number i post another blogpost and about a fifth of the followers disappear,hate
i shifted my focus to making it to the ski lodge aid station to avoid thinking about the fact that i wasn t quite half way done and feeling pretty miserable,empty
i hope someone in your life gives you the gift of feeling amazing,neutral
i do feel like it is somewhat a missed opportunity because the only thing that i couldnt buy is the story mostly due to how it plays out like a drama melayu and how the central love story leaves a lot to be desired i,love
i let myself feel this way which is rather funny when you think of it since i was crying as i had when i was first born years ago,fun
i feel like my life is heading in a direction that i am excited about and i will be proud of,enthusiasm
i was unsure of myself silence made me feel uncomfortable unanchored,relief
"Ha, fun! I think Iï¿½ll rewatch (parts of) season 5 preparation for 2morrow night!",fun
i do really like new look and topshop and h amp m too but i feel like forever has a lot of really cute clothes and accessories and its not too expensive so i ended up picking forever,neutral
i was feeling generous that time so i bought her an item of her choice,neutral
i feel eager because i want to download every songs by linda chung and ariel lin yi chen,enthusiasm
i didnt feel surprised,surprise
i feel kind of lonely today with the phone not ringing every minutes leaving me my very own personalized robot political message,neutral
Dinner then heading up to traverse city for ryan nicks hockey game! (:,surprise
i end up feeling like i cant bring up anything that i am unhappy about,happiness
i am excited to be doing something but still feeling really bitter that i find myself going this far and spending so much time and money with so little proof that it will help,enthusiasm
i can live out my values instead of just being crushed by debt feeling rejected and feeling empty,empty
i get to cycle over the river thames and feel the wonderful british weather on my face and sometimes in my shoes,neutral
i feel a duty to be shocked and appalled by my own ignorance,surprise
i feel nervous i feel excited,enthusiasm
i feel as if i have gone as far with it as i can and am eager to explore more of the world,enthusiasm
i finished the book i was left feeling empty,empty
i hadnt made the connection between the larvae and the bug and i feel uncomfortable about her knowing so much,relief
i feel kinda offended but whatever,hate
i can carry out easily and i can open web pages and scroll around with ease yet when i look at the real reason i want it it is because i feel like people will see me using it and be envious and think that i am of status because i have this expensive computer,relief
i am no longer feeling so melancholy about things,sadness
i see them i want to stare but then i feel so rude that i make a point not to stare and then i miss all the fun,fun
i start feeling angry ill go join the suffragettes or travel to the wild west where i can shoot somebody and get away with it,anger
"I thought you were better then that, guess I was wrong. What a",surprise
i left the mall feeling like someone hated my body,hate
i realized that although i liked the challenge of starting and finishing a painting every day i didnt want an arbitrary deadline making me feel rushed to make sloppy work or work i didnt like so im happier that it took longer and left me with a stack of paintings i love,love
i feel very eager to begin my portfolio then we went to savers and found many amusing articles of clothing and i spent too much money gt,enthusiasm
i could feel again and i hated it,hate
#NAME?,sadness
i weep no longer because there is so much to feel joyful about so much to feel thankful for,fun
im feeling quite scared about the new role but massively excited,enthusiasm
i feel hated like a pig,hate
catching up on my teevee shows.,enthusiasm
i feeling a bit more positive since a couple of important cards are now done and only have a couple of more to do then i can relax and do whatever i like,hate
"She did n't want to get sad now , not now after it had been so good .",sadness
i remembered that it would feel empty and guilt and negativity would follow if i pushed for a disconnected orgasm,empty
i did not feel its strange effects no more,neutral
i feel a lovely sense of achievement but my list continues to grow,love
im feeling really buzzy lately like i cant even focus on my last exams because im so excited for the summer,enthusiasm
"From the outset , commentators seem to have been astonished at the great interest the competition evoked .",surprise
i seem naive about right and wrong but i do what i want and feel anyway and that im playful and fun i guess thats okay,fun
ive cried about lots of things but all the time i cried was because i feel empty,empty
ive felt like this ive also been left feeling like i must be constantly letting all you lovely people down,love
"lol, as a target employee they forbid me from that place, no i usually go in and buy like everything along with commenting",sadness
i remind myself of this when i feel like i might fail on this quitting journey and although my body is doing some funny things repairing itself i feel pretty good,fun
i am feeling shocked guilty and very very sad,sadness
i feel comfortable and peaceful like my private corner is with me wherever i go,relief
i am feeling particularly thankful and excited about a few things,enthusiasm
i feel for this family and our community i am joyful for another reason,fun
I get caught off guard when the asians in the library are actually speaking english,surprise
i am seeking personal relief and the only way i can feel it is when i take care of myself in a gentle and kind way,relief
i ever did see and a giggle when her veil got caught on her tiara when her parents tried to remove it i didn t feel heartbroken or alone or sad,sadness
Hey girl. I'm a new follower - I think it's awesome you've gotten the chance to get so close to Donnie. Very cool!!,fun
i will always wonder and always feel empty,empty
i was feeling uncomfortable and found myself seeing it more with curiosity than with what can i do or take to get rid of it,relief
Check out a great article highlighting the team serving at Harper Woods Middle School education service,happiness
i feel like my schooling is unimportant to my family,neutral
i must say that i do feel better in myself and im really excited about reaching views for my beloved blog i love wearing tights,enthusiasm
i feel angry which is covering up some very strong hurt and if i sit long enough with it the molten lava of supreme all consuming terror comes roaring up from deep deep down and i have to quickly shove it back down in self preservation,anger
i exercise on day then i feel a lot of momentum to exercise on day my mind pumping with focus for the next session and body eager to get more energy,enthusiasm
i do sometimes feel angered by what he did to me but i don t hate him and i most definitely don t like him anymore,hate
i feel and fill in the blank about that particular emotion to release all the feelings you have regarding that as it pertains to your relationship grief,relief
i feel so passionate about birthing options and am so upset with the way they treated me and my daughter that its a surprise that my month old daughter and i arent picketing their office every day,surprise
i enjoy with kiraitu many feel that i should make him my running mate and i fully welcomed the idea he added,happiness
i hate to feel spiteful towards her,hate
i am excited about it and i know i am going to enjoy it when i can t stop thinking about it and feel the pleasant palpitations that come with the anticipation,enthusiasm
im feeling kind of numb and empty inside perhaps due to the hunger and the depression that seems to envelop me because my classsmates cancelled everything today,empty
i know how you feel i hated school also,hate
i am really excited to have the yard in the walk but am feeling a bit nervous that it will not be as special to the visitors who come as it is to me,enthusiasm
im just sounding like a raving lunatic its because i didnt plan anything about this quilt so when i realised this amazing discovery i was doing a little happy dance and feeling very smug,happiness
i feel i was shocked,surprise
i often listen to her music on repeat and by the end of it i feel exhausted and comforted at the same time,relief
i was feeling positively bouncy after i got out,neutral
i running the show mhaiskar of irb infra should rightly feel pleased,relief
i can feel the flow and i am just as eager as you the reader to see what appears,enthusiasm
i love her but i can t even talk to her now without feeling hated,love
i see you because i have bizarre love triangle playing in my head and it makes me feel complacent just having you around,love
i feel joyful today,fun
i feel like i am at a plateau and am eager to just do whatever is next,enthusiasm
i don t know i trail off mostly because i don t feel like being charming or funny or to be quite frank nice to other people when i am feeling so shitty,fun
"So sleepy and bored. But tonight, there will be tree decorating and chicken soup. Also, writing.",surprise
im feeling so empty,empty
i release him into the world i feel like people will not see him for the smart silly kid he is but for the insane over dramatic short tempered mother he has,relief
i feel privileged that they come often to my trees,neutral
i hate feeling so needy and yet knowing no one can help me feel better because the only thing that would make me happy and the only thing i need is doug,hate
Speeding home. Bath CRD. The sofa with TT.,happiness
i feel ashamed to admit that i think i will only feel relief when the burden of their expectations is lifted from me with their inevitable deaths,relief
i expect to see pockets of melting snow here in austin as i drive around town and am still feeling shocked that there isn t any here at all,surprise
i feel i didnt think a day like this would come a day where a sweet funny dorky girl like you would be caught into such a huge mess,fun
im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,enthusiasm
Made it ht my twitties,relief
i want do which is pretty good considering that im pretty fucking indecisive but i feel eager to start school next year because i know ill lead me my carrer,enthusiasm
i feel like joining my beloved in sawing some logs,love
i feel after i quit a job i hated reality rel external nofollow target blank share with facebook friends iframe allowtransparency true frameborder scrolling no src www,hate
im really feeling eager to get everything done so that things can be progressing,enthusiasm
My son's first tooth came out but he left it at school,surprise
i hope for you so much and feel so eager for you,enthusiasm
i had to feel rebellious empty out what they had created and start anew,empty
i was feeling eager to teach my children the way my parents taught me and my brothers and sisters,enthusiasm
i feel empty too,empty
i feel so scared that i would just halt out of nowhere and i don t know if i can still fight for this,neutral
“: - hohoho ” merry Christmas... Just wait till Xmas day.. Can't wait notreally amazin,surprise
im just feeling so extremely shocked happy suprised excited and,enthusiasm
i feel in two days time in a way i m kind of pleased,relief
i wonder if the disciples started feeling a little discouraged as they searched through thousands of people looking for food,anger
i confess i rarely attend all three hours of church because i feel uncomfortable there,relief
i try not to play the competition game i really detest that yucky pit of the stomach feeling that i get when i feel envious,hate
Artists of every kind know a special that comes from adding beauty to the world. inspire quote,happiness
EFF THAT NOISE!,hate
i wouldnt be honest if i didnt admit to feeling a little bit bitter that i have to go to amp,neutral
"Dude you're always going to midnight screenings! xD. I wish I lived in a city. Well, I do (until tmrw!) but it's rubbish",hate
i want to feel the sadness of his voice the romantically tragic lyrics,sadness
im feeling impatient excited,enthusiasm
there's nothing wrong with having a quiet day... it gives you more time to listen,relief
i feel a little embarrassed for getting intoxicated im more angry at myself for wasting all that time and sleeping the evening away,anger
i know that i have a wonderful soul that i am caring and loving person probably sometimes to a fault but i also know that there are times when i feel that i am the only person that knows this about myself sometimes the romantic surprise could make a real difference to the psyche of a person,surprise
i always look nice chanyeol replies laying a hand on the other s shoulder and feeling slightly surprised at how firm it is,surprise
i feel restless if it isnt raining going out the church garden looking for plants and bugs and cars which give me great relief and meditate until i become safe enough to be able to silent suitable for the chapel,relief
i have suffered through prolonged and intense periods of loneliness and the feeling of being unloved,love
im happy with my decision and i feel relieved,happiness
i feel weaken or depressed because i believe that even though i can no longer feel him hes still there right beside me,sadness
i don t have the luck of being able to live here for five or six months to get to the point where i begin assimilating and feeling comfortable whatever that may mean,hate
i hate that i can still feel if any nerve is damaged badly enough or often enough it looses sensation and will eventually die and you become numb there why cant emotion be the same,hate
i feel something amazing something that make me happy,happiness
i feel the need to document all of this because of how much i hated being pregnant,hate
i love the feeling of being shocked whether by a reality tv show twist or a murder mystery,surprise
i remember feeling quite shocked because that is the last thing i expected at this point,surprise
i feel the need to pimp this since raini my beloved rocky casting director loves it so much,love
im also feeling a bit pleased with myself as i have finally sussed how to get my pictures where i want them in my posts rather than having them always at the top lol,relief
Happy Mothers Day to all Mothers every where,love
i was angry with a person who behaved terribly at a ball offending her relatives,anger
i have felt the comfort extended by those who have lost or are losing their own mothers and i feel so impressed with how willingly mothers rally around each other with encouragement,relief
im feeling pretty ashamed of some of my fellow americans today,neutral
i feel much the way i felt after watching hotel rwanda enraged and ashamed at the atrocities that occur yet filled with awe and admiration for the people who rise above it all to help others,anger
i am beginning to feel myself falling complacent,neutral
i feel comfortable giving these drops to stud when he asks for one which is any time he sees someone else get one,relief
im really enjoying this new found feeling and it was unquestionably a pleasant surprise,surprise
i left that day feeling more discouraged and fearful than before,anger
im feeling so passionate and excited about my life,enthusiasm
i feel like i cant say if im unhappy with something without him going off,happiness
i feel many insects taking over a more lovely sound of assurance,love
i may not be an adept at this particular skill i do feel it is definitely worthwhile passing it on to you all smile the no complaints policy is a commitment to yourself to avoid complaining about your life your situation the things people do to you or around you,empty
i am pleased to report and we were both feeling extremely virtuous on the way home,relief
Ok so 4 needs to hurry up and come wtf I wanna go hooooommmeeee!,enthusiasm
night Diana and if you travel soon take care,sadness
i feel discouraged and wonder why im putting the pressure on to share myself and my work with a world i will probably never meet,anger
i am feeling discouraged alone and even punished,anger
"Very Happy to wake up with no work for 3 days, still got lots to do today.",happiness
i just had to share because this is a fitness program that has this year old feeling excited and not afraid of celebrating my future birthdays,enthusiasm
i usually get upset i always end up thinking things over and over which basically just upsets myself but now i don t really think anything at all and i just feel funny,fun
i broke up with my boyfriend i feel so empty,empty
i didn t feel like those questions and i hated those questions,hate
i feel so empty inside,empty
i discuss what steps i take to help my patients feel more at ease if they feel unsure about the way i communicate or about the exam care techniques i use,relief
ive been feeling empty inside,empty
i feel a bit awkward talking about money but the fact is while i love being a childrens bookseller and have for the last seventeen years i would really like more time to read and write about kids books for my blog,love
i realised how much i was gone and i was so surprised at how much better it makes me feel i try to make eye contact with anyone i walk by and smile it makes me feel more vital and friendly,surprise
i feel like im either being tortured or as if im being teased with visions of something ill never have,relief
i hope this is all just part of the adjustment phase of our new life and i will eventually feel content and happy staying at home,happiness
Jesus heals,happiness
im feeling so blank no emotions no sadness no happiness no guiltiness nothing at all,sadness
i feel so joyful and merry when its the holidays,fun
i get to my desk at nine feeling exhausted and tired and grumpy to come home and rush through my to do list and get angry that i havent finished it,anger
i miss feeling like the beloved,love
i just feel so carefree amp im so happy,happiness
i think i am just feeling a bit envious of a couple of my friends and i hate myself for that because they arent well but i just cant help it,hate
i feel so enraged that he has a chance to have a planned baby with his wife and here i am never to experience it,anger
i feel wonderful but a bit unhappy,happiness
Ha! I dunno about standing anything up. Very very rough today. It hurts to talk.,sadness
i was feeling very angry about something,anger
i journey with him through this season i feel joyful terrified reluctant shielded in awe in love and so unbelievably blessed,love
ive followed dianas development of this book on her blog i feel like ive been waiting a long time for this retelling and am so glad its finally been released just in time for summer,relief
i remember feeling funny that i was excited to go to the campus where back in high school id teased classmates that they only went there because byu wouldnt take them,enthusiasm
i have started to feel a little enraged every time i see plus sized women clothes models getting described as curvy curvy friendly and so on and so forth,anger
i always feel loved i always feel cherished,love
i had this feeling wouldnt have pleased dad,relief
i had sex the first time it just made me feel disgusted with myself why cos all of the shitty people who said to love another guy was wrong,love
i hate being selfish but i gotta admit i feel so depressed about it,sadness
i hide in my cozy home with not much to do but miss my loved ones back home and feel miserable,love
"Boys are sitting down for photos, no touching and no handshakes allowed. asylm",sadness
im feeling especially thankful for my sophie also known as shmophie sophie poo poopsy fluffalump shophie wophie and whatever else i choose to come up with,hate
i hate feeling like my life is so messy right now i like a gentle tide not something youd look at in awe at peahi or hookipa,hate
i feel amazed sometimes how things are changing very fast so i wouldnt be surprised if cars started flying for some reason,surprise
im feeling either ecstatic bliss or utter sadness most of the time,sadness
i feel lucky off her album come on come on is by far the most fun song the otherwise seemingly serious singer songwriter has written,fun
i feel like so many people dont really understand what goes on in policy and make generalizations from popular media politicians whatever,hate
"Yep, this is about as &quot;boonies&quot; as it gets, if you look at the map In transition. Gotta find a place and a job. -",sadness
i feel like these days it is acceptable to be anything but fat,neutral
i am still feeling so amazing and part of that is because i am working harder than i ever thought i would i am pushing myself beyond the boundaries i unintentionally set for myself and i am just so excited for what s to come,enthusiasm
i just wanted to share how joyful and truly grateful i feel i am honoured to have taken on this role of being of service to the many souls out there with regard to the authenticity issues around the legacy of my friend the super cool soul of norval morrisseau,fun
i really feel that where there is an ugly scar it partly has to do with the emotions connected to the surgery that need to be released,relief
i hate that because i feel that i cant talk about it as theyll realise that i dont really know how to empathise with the fact that theyre feeling shaken up or whatever,hate
i feel defeated and discouraged about issues that deal with weight or food,anger
"As she poured coffee for Jenny and Paul , she felt unbearably sad .",sadness
i feel when i am on the spot and surprised,surprise
i feel so naughty you please phone,relief
"Yes, I would love some more cowbell!",fun
"Ronni got in , feeling a welcome dart of annoyance at the way he had issued that curt command .",anger
i feel unloved and trying to figure that all out,love
I haven't been to Toys R Us in like 5 years..,sadness
i have several reasons why i think going to uca is going to leave me feeling bitter unhappy and overall unfulfilled,happiness
i was angry with myself because i didnt feel like i was supporting her enough,anger
i was years old at one time knowing my dad wasnt coming home and its the worst feeling i have ever felt and ive hated you since and it wont ever change,hate
i feel a bit resentful of it,neutral
i scale a mountain i feel ecstatic neelima img src http www,neutral
i was feeling excited and terrified all over again but on a different level than i had ever experienced,enthusiasm
i ever had swum along with kin gorge because do not have camera take a photo as a souvenir can keep shrivelled character only unavoidable feel some are regretful,empty
Wilde vandaag gaan en mijn afmaken... in plaats daarvan lig ik ziek in bed met een geimproviseerde kruik...,surprise
i am still absorbing all of this new info amp recalibrating my feelings about the pregnancy but between my perfect bloodwork lack of edema amp decent home blood pressure i m hoping i can avoid a super premature delivery,empty
i have not been happy with my partner for about months now i tried to talk to him at the weekend about how i was feeling and therefore all hell broke loose,happiness
i could tell she hadnt moved enough to feel the sweet release of savasana,relief
GOD SCHOOL IS GOING TO SUCK ASS NEXT YEAR!,sadness
Did NOT get paid today.,hate
i feel a lot of people look at this page and realize the hateful things people post are simply uncalled for,hate
"im actually in a decent mood this morning,",surprise
"haha, sorry, it's past my bedtime",happiness
i feel sometimes we ooze sarcasm as a strange form of proof that we are content despite imperfect circumstances,happiness
i will be keeping regular office hours until the exam and please also feel free to get in touch with me through email with any questions,relief
im still feeling troubled about a couple things one in particular and i just cant seem to light the way so i wonder blindly into whats next through the void hoping for something or someone to come into my path and provide the fire to light the candle,empty
Words can't describe how angry i 's been a horrible sunday--gr8 way 2 end my week. Not talking to any1 til my 26th bday...,anger
i am just feeling more joyful and upbeat even at work,fun
i hate that i feel hated like im not part of my grade or class,hate
i feel joyful about being me,fun
ive been feeling bouncy and angry all day,anger
i also feel angry for hamlet because his father was murdered by his own uncle so he could marry his mother,anger
i dont know if she fully understands exactly how that works but at the very least she was able to tell me what it was exactly i was doing that made her feel uncomfortable and i made a note of it so that i could catch myself next time,relief
i thought that the angst could be from denny being jealous for some reason or maybe he was struggling with his feelings for alan perhaps some repressed affection may have been present,love
i could feel his sweet spirit and i was happy to be helping him,happiness
Enjoyed the Waller reunion very much! The Wallers are back in town,relief
i feel at ease when i speak with him but there are other times when he makes me furious and drown in fury,relief
i was feeling kind of discontent like my persona was out of sync with who i really wanted to be,happiness
i hate doing these but i was feeling fab this day,hate
i feel i owe it to you lovely folks to see the real me behind the blog,love
i feel like i should have hated it,hate
i feel kind of out of the loop here since everyones extremely eager to go out and do stuff around la since theyre transfers from cc theyre thirsty but i think im going to settle down and focus on my grades,enthusiasm
ive spent the past days reading a book i bought while i was in india years ago and i cant help but feel utterly disturbed disappointed unhappy annoyed etc,happiness
i feel overwhelmed with emotion today about this so being as this is my little place on the internets i am going to indulge a little today and allow myself to get this off my chest,neutral
i suppose when im feeling agitated and thirsty maybe i just need to drink more frequently to be happy d well i was not able to download derek webbs latest album mockingbird from his website,happiness
i see movies or shows where people give the surprise birthday yell i would feel hey no one was ever surprised like i once was,surprise
i am discouraged feeling as though i should just give up i remember she got rejected from publishing companies,anger
He looked quite nonplussed .,surprise
i feel honoured and humbled by the courageous participation and trust placed in me by so many women,anger
i feel very angry,anger
i have the desire to help them feel loved and to never do anything to betray their trust,love
i dont know where anything is yet and i dont know my way around the area and i just feel so uncomfortable in this house,relief
i feel hated is because i am hated on so hey what can i say utha than all haterz do me the biggest fava and get me through the stupidest days,hate
Today is already off to a bad start.,surprise
i feel slightly melancholy because i will miss seeing my students bright and shining faces haha every day,sadness
i feel like im on some sort of joyful high from all of yesterdays glory,fun
"Had a great night, ashleigh makes a good dance teacher And we kicked Bens butt at a pillow fight!",happiness
i feel empty because of all these burdens on me now,empty
"Misses JP I do not know what to do and iv given myself a headache thinking about it, just makes me want to cry",sadness
i dont know i feel like this was just tossed out there to bring interest back to these beloved characters but now i feel more ashamed of them,love
i feel so empty so nothing,empty
i have begun to feel irrationally resentful and angry towards people,anger
Off to mother in law's 70 birthday. Shush... it's a,surprise
"NHL Not a fan of either team, my head says Detroit, my feet say the Pens my heart doesn't care GO KINGS in 2009/2010",enthusiasm
im just not comfortable at home because no one who can make me comfortable and feel valued,relief
i feel a little shocked but in a really happy way as this is the third time in months that i ve won at a href http www,surprise
i feel sad and as i sat down on the front step of the barn with dior it took everything of me not too cry,sadness
Gang of school boys walking together. Chanting. Then I realised they were declining latin verbs. kidslovelatin overheardonstreet,surprise
i started feeling really cranky and rundown last night,neutral
Scorgasm debut next Wednesday 11/30/11 ,surprise
i was feeling low she said,neutral
"lol nttn much juss mad that its been raining all day, and to add to that i dnt think u following me..",fun
i am constantly feeling these thoughts longing to be released,relief
i still have cramps plus i get really dizzy when i stand up and my whole body is aching and i just generally feel extremely uncomfortable,relief
i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,fun
wachten tot de verf droog is en dan weer verder (:,surprise
I need a Xanax and have none,sadness
i feel that the life issue and posts like this one will just be met with violent and angry rhetoric,anger
i do feel pleased with the race considering how the couple of days leading up to it unfolded,relief
i feel rotten for everyone in the morning because they where cold and had little sleep yes a did but not enough to give up my bed,neutral
i understand people can get into bad situations and end up there through no real fault of there own and then i kind of feel for them but im not keen on the ones who have the support but beg to fund a drug habbit or even better those who pretend that theyve got nothing,fun
"you shouldnt have to reset more than once if it doesn't work right the first time, something is up",sadness
i feel like she is like ray on er most people hated him and he was such a great character,hate
i guess thats another reason why sometimes i feel sad when i try initiating a conversation and i dont get anything,sadness
i kept having a feeling that god was tellin me to keep trusting god faith ooooooo oooooo man i hate the whirl of feelings,hate
i feel so funny deep inside when i lick between your thighs,fun
i don t feel empty at all,empty
i am feeling very eager i think its time something new came into my life and put a full stop to everything here so that it can be kept into this box called memories,enthusiasm
i feel ecstatic and may even scream with joy when my boy friend gives me a diamond engagement ring,happiness
i guess some of what i was feeling showed on my face because she gave me another unpleasant smile and thanked me for the goodness of my heart or something like that but i have been shaking with rage ever since,anger
i feel honoured that you were so pleased,relief
i felt has subsided and i can now feel curious and dare i say excited about the changes that are still to come she says,enthusiasm
its cool,happiness
i am not sure why you had that look on your face but i get the feeling something pretty funny must have happened,fun
i get the strong feeling from my hours of browsing the overdrive collection that the curators of overdrive are not too eager to spend top dollar for much content beyond the bottom line,enthusiasm
id had a lot of unhappy memories there being bullied and feeling isolated and unwanted,happiness
im feeling troubled depressed angry,sadness
i feel ashamed and useless at times for not expressing enough,neutral
Stood outsiden got the WORST butterflies everrrrr!,enthusiasm
i do show up i will feel really eager and sincere and not just faking it,enthusiasm
i wish that i was limited to certain emotions so that i ll never have to experience pain never feel betrayed or disappointed and never get my fragile heart broken but the same thing means that i ll never know how it feels to love and be loved in return,love
i do to feel glamorous getting a manicure and pedicure having a pampering spa experience at home with espa bath and body products and lovely skin care,love
My generation is too fucking apathetic to party down in the desert. 30+ knows how to have fun and my age group is generation myspace?,hate
i never thought so amp for th first time im feeling so innocent from th outrageous society,anger
i read dyer i feel that either he is a very strange person and wouldnt be offended to hear you say it and would be great fun to get drunk with or he has perfected a literary persona who could be a member of the cast of fawlty towers,fun
recapping on britains got talent. britain seems more talented than america,surprise
i am willing yet it feels like i am even more depressed,sadness
i had a feeling for most of my pregnancy that it was a girl and although justin had no feeling either way i do think he was slightly surprised,surprise
